"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000005586"	"YOR060C"	"S. cerevisiae"	"SLD7"	"Synthetic Lethality with Dpb11-24"	"Protein with a role in chromosomal DNA replication"	"Protein with a role in chromosomal DNA replication; interacts with Sld3p and reduces its affinity for Cdc45p; deletion mutant has aberrant mitochondria"	"Verified"	NA	NA	"7027-YOR060C"	NA
"S000005587"	"YOR061W"	"S. cerevisiae"	"CKA2"	"Casein Kinase Alpha' subunit"	"Alpha' catalytic subunit of casein kinase 2 (CK2)"	"Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching"	"Verified"	"Protein serine/threonine kinase subunit of the protein kinase CK2 complex, also a subunit of the UTP-C subcomplex of 90S preribosome; involved in regulation of transcription by RNA polymerases I and III, chronological cell aging, and cellular responses to osmotic stress and DNA damage; found in nearly every subcellular compartment|uniprot_proteome=UP000002311"	NA	"7028-YOR061W"	NA
"S000005588"	"YOR062C"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YOR062C has a paralog, YKR075C, that arose from the whole genome duplication"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study|uniprot_proteome=UP000002311"	NA	"7029-YOR062C"	NA
"S000005589"	"YOR063W"	"S. cerevisiae"	"RPL3"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L3"	"Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; plays an important role in function of eIF5B in stimulating 3' end processing of 18S rRNA in context of 80S ribosomes that have not yet engaged in translation; involved in replication and maintenance of killer double stranded RNA virus"	"Verified"	"Subunit of the cytosolic large ribosomal subunit; involved in assembly of the large ribosomal subunit, and translation|uniprot_proteome=UP000002311"	NA	"7030-YOR063W"	NA
"S000005590"	"YOR064C"	"S. cerevisiae"	"YNG1"	"Yeast iNG1 homolog"	"Subunit of the NuA3 histone acetyltransferase complex"	"Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region"	"Verified"	"Methylated histone-binding subunit of the NuA3 histone acetyltransferase complex involved in chromatin modification and positive regulation of RNA polymerase II transcription|uniprot_proteome=UP000002311"	"Non-essential gene; overexpression causes slow growth and abnormal silencing; null mutant has decreased fitness, abnormal vacuolar morphology, and is sensitive to 6-azauracil, protein synthesis inbibitor cycloheximide, and herbicide amitrole"	"7031-YOR064C"	NA
"S000005591"	"YOR065W"	"S. cerevisiae"	"CYT1"	"CYTochrome c1"	"Cytochrome c1"	"Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex"	"Verified"	NA	NA	"7032-YOR065W"	NA
"S000005592"	"YOR066W"	"S. cerevisiae"	"MSA1"	"Mbf and Sbf Associated"	"Activator of G1-specific transcription factors MBF and SBF"	"Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog, MSA2, that arose from the whole genome duplication"	"Verified"	NA	NA	"7033-YOR066W"	NA
"S000005593"	"YOR067C"	"S. cerevisiae"	"ALG8"	"Asparagine-Linked Glycosylation"	"Glucosyl transferase"	"Glucosyl transferase; involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p; human homolog ALG8 can complement yeast null mutant"	"Verified"	NA	"Non-essential gene; null mutant is sensitive to reducing agents such as mercaptoethanol and DTT and displays under-glycosylation of secreted proteins; in large-scale studies, the null mutant requires myo-inositol, displays rounded cell shape and decreased competitive fitness, and has altered sensitivity to a variety of chemicals"	"7034-YOR067C"	NA
"S000005594"	"YOR068C"	"S. cerevisiae"	"VAM10"	"VAcuolar Morphogenesis"	"Protein involved in vacuole morphogenesis"	"Protein involved in vacuole morphogenesis; acts at an early step of homotypic vacuole fusion that is required for vacuole tethering"	"Verified"	NA	NA	"7035-YOR068C_NumOfGenes_2"	NA
"S000005595"	"YOR069W"	"S. cerevisiae"	"VPS5"	"Vacuolar Protein Sorting"	"Nexin-1 homolog"	"Nexin-1 homolog; required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to late Golgi; structural component of retromer membrane coat complex; forms a retromer subcomplex with Vps17p; required for recruiting the retromer complex to the endosome membranes; VPS5 has a paralog, YKR078W, that arose from the whole genome duplication"	"Verified"	"Endosomal phosphatidylinositol-3-phosphate binding retromer complex subunit involved in retrograde transport of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport|uniprot_proteome=UP000002311"	NA	"7035-YOR068C_NumOfGenes_2"	"find panID based blast"
"S000005596"	"YOR070C"	"S. cerevisiae"	"GYP1"	"Gtpase-activating protein for YPt1p"	"Cis-golgi GTPase-activating protein (GAP) for yeast Rabs"	"Cis-golgi GTPase-activating protein (GAP) for yeast Rabs; the Rab family members are Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion"	"Verified"	NA	NA	"7036-YOR070C"	NA
"S000005597"	"YOR071C"	"S. cerevisiae"	"NRT1"	"Nicotinamide Riboside Transporter"	"High-affinity nicotinamide riboside transporter"	"High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"	"Verified"	NA	NA	"7037-YOR071C"	NA
"S000005598"	"YOR072W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate, paraquat and wortmannin sensitive"	"Uncharacterized"	NA	NA	"7038-YOR072W"	NA
"S000005599"	"YOR073W"	"S. cerevisiae"	"SGO1"	"ShuGOshin (Japanese for \"guardian spirit\")"	"Component of the spindle checkpoint"	"Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension"	"Verified"	NA	NA	"7041-YOR073W"	NA
"S000005600"	"YOR074C"	"S. cerevisiae"	"CDC21"	"Cell Division Cycle"	"Thymidylate synthase"	"Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature"	"Verified"	NA	NA	"7042-YOR074C_NumOfGenes_2"	NA
"S000005601"	"YOR075W"	"S. cerevisiae"	"UFE1"	"Unknown Function Essential"	"t-SNARE protein required for retrograde vesicular traffic"	"t-SNARE protein required for retrograde vesicular traffic; involved in Sey1p-independent homotypic ER fusion; required for efficient nuclear fusion during mating; forms a complex with the SNAREs Sec22p, Sec20p and Use1p to mediate fusion of Golgi-derived vesicles at the ER"	"Verified"	NA	NA	"7043-YOR075W"	NA
"S000005602"	"YOR076C"	"S. cerevisiae"	"SKI7"	"SuperKIller"	"GTP-binding protein that couples the Ski complex and exosome"	"GTP-binding protein that couples the Ski complex and exosome; putative pseudo-translational GTPase involved in 3'-to-5' mRNA decay pathway; interacts with both the cytoplasmic exosome and the Ski complex; eRF3-like domain targets nonstop mRNA for degradation; null mutants have a superkiller phenotype; SKI7 has a paralog, HBS1, that arose from the whole genome duplication"	"Verified"	NA	NA	"7044-YOR076C"	NA
"S000005603"	"YOR077W"	"S. cerevisiae"	"RTS2"	NA	"Basic zinc-finger protein"	"Basic zinc-finger protein; similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication"	"Verified"	"Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study|uniprot_proteome=UP000002311"	NA	"7045-YOR077W"	NA
"S000005604"	"YOR078W"	"S. cerevisiae"	"BUD21"	"BUD site selection"	"Component of small ribosomal subunit (SSU) processosome"	"Component of small ribosomal subunit (SSU) processosome; this complex contains U3 snoRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; originally isolated as bud-site selection mutant that displays a random budding pattern"	"Verified"	NA	NA	"7046-YOR078W"	NA
"S000005605"	"YOR079C"	"S. cerevisiae"	"ATX2"	"AnTioXidant"	"Golgi membrane protein involved in manganese homeostasis"	"Golgi membrane protein involved in manganese homeostasis; overproduction suppresses the sod1 (copper, zinc superoxide dismutase) null mutation"	"Verified"	"Manganese ion transmembrane transporter involved in manganese ion homeostasis; localizes to the Golgi membrane|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays a decreased ability to utilize proline as a nitrogen source; null mutant displays increased competitive fitness in minimal medium; overexpression results in decreased growth, decreased resistance to rapamycin treatment and increased accumulation of manganese ions; null mutant displays increased survival following a ramped heat stimulus; heterozygous diploid null is haploinsufficient"	"7047-YOR079C"	NA
"S000005606"	"YOR080W"	"S. cerevisiae"	"DIA2"	"Digs Into Agar"	"Origin-binding F-box protein"	"Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase, completion of DNA replication during recovery from DNA damage, assembly of RSC complex, RSC-mediated transcription regulation, and nucleosome positioning; involved in invasive and pseudohyphal growth"	"Verified"	NA	NA	"7048-YOR080W"	NA
"S000005607"	"YOR081C"	"S. cerevisiae"	"TGL5"	"TriacylGlycerol Lipase"	"Bifunctional triacylglycerol lipase and LPA acyltransferase"	"Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog, TGL4, that arose from the whole genome duplication"	"Verified"	NA	NA	"7049-YOR081C"	NA
"S000005608"	"YOR082C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR083W"	"Dubious"	NA	NA	"7050-YOR082C"	NA
"S000005609"	"YOR083W"	"S. cerevisiae"	"WHI5"	"WHIskey"	"Repressor of G1 transcription"	"Repressor of G1 transcription; binds to SCB binding factor (SBF) at SCB target promoters in early G1; dilution of Whi5p concentration during cell growth determines cell size; phosphorylation of Whi5p by the CDK, Cln3p/Cdc28p relieves repression and promoter binding by Whi5, and contributes to both the determination of critical cell size at START and cell fate; periodically expressed in G1"	"Verified"	"Transcription cofactor that represses transcription during the G1/S mitotic transition; component of the SBF transcription complex; localizes to both the cytoplasm and nucleus|uniprot_proteome=UP000002311"	NA	"7051-YOR083W"	NA
"S000005610"	"YOR084W"	"S. cerevisiae"	"LPX1"	"Lipase of PeroXisomes"	"Peroxisomal matrix-localized lipase"	"Peroxisomal matrix-localized lipase; required for normal peroxisome morphology; contains a peroxisomal targeting signal type 1 (PTS1) and a lipase motif; peroxisomal import requires the PTS1 receptor, Pex5p and self-interaction; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance; oleic acid inducible"	"Verified"	NA	NA	"7052-YOR084W"	NA
"S000005611"	"YOR085W"	"S. cerevisiae"	"OST3"	"OligoSaccharylTransferase"	"Gamma subunit of the oligosaccharyltransferase complex of the ER lumen"	"Gamma subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins"	"Verified"	NA	NA	"7053-YOR085W"	NA
"S000005612"	"YOR086C"	"S. cerevisiae"	"TCB1"	"Three Calcium and lipid Binding domains (TriCalBins)"	"Lipid-binding ER protein involved in ER-plasma membrane tethering"	"Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication"	"Verified"	NA	NA	"7054-YOR086C"	NA
